     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000         *     0.004     0.027     0.000     0.964     0.004     4.000
     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000    59.400     0.045     0.504     0.000     0.004     0.447     2.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000    62.490     0.005     0.788     0.000     0.191     0.017     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    71.580     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     1.000         *     1.000     1.000     1.000     0.000     0.000     1.000     1.000    56.720     0.056     0.143     0.007     0.001     0.793     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    91.260     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000    72.720     0.001     0.918     0.000     0.006     0.075     2.000
     0.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000    44.420     0.839     0.001     0.011     0.110     0.038     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000         *     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    52.190     0.992     0.000     0.000     0.007     0.000     1.000
     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000    52.610     0.941     0.007     0.003     0.005     0.044     1.000
     1.000     1.000         *     1.000     1.000     1.000         *     1.000     1.000     1.000    54.140     0.001     0.973     0.000     0.006     0.019     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    51.890     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    56.310     0.004     0.027     0.000     0.964     0.004     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000         *     0.001     0.319     0.000     0.004     0.676     5.000
     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    83.250     0.296     0.652     0.000     0.007     0.045     2.000
     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000     1.000         *     0.001     0.000     0.141     0.009     0.848     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000         *     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000    58.060     0.002     0.389     0.000     0.005     0.604     5.000
     1.000     1.000     1.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000    65.930     0.011     0.004     0.001     0.621     0.363     4.000
     1.000     0.000         *     0.000     0.000     1.000     1.000     1.000     1.000     1.000    33.670     0.326     0.009     0.000     0.661     0.004     4.000
     0.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000    61.820     0.935     0.043     0.000     0.014     0.008     1.000
     0.000     0.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000     1.000    39.400     0.797     0.003     0.046     0.002     0.151     1.000
     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000     1.000    60.020     0.010     0.254     0.000     0.441     0.295     4.000
     0.000     0.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     1.000    55.950     0.807     0.000     0.109     0.012     0.071     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    57.940     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000    64.620     0.001     0.858     0.000     0.010     0.130     2.000
     1.000     1.000     1.000         *     1.000     1.000     1.000     1.000     1.000     0.000    66.640     0.001     0.954     0.000     0.035     0.009     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000         *     0.000     0.014     0.001     0.000     0.985     5.000
