1	1	1	0	0	1	1	1	1	0	.	0.004	0.027	0	0.964	0.004	4
0	1	1	1	1	1	1	1	0	1	59.4	0.045	0.504	0	0.004	0.447	2
1	1	1	0	1	1	1	1	1	0	62.49	0.005	0.788	0	0.191	0.017	2
1	1	1	1	1	1	1	1	1	0	71.58	0	0.986	0	0.006	0.008	2
0	1	.	1	1	1	0	0	1	1	56.72	0.056	0.143	0.007	0.001	0.793	5
1	1	1	1	1	1	1	1	1	0	91.26	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	0	1	1	0	72.72	0.001	0.918	0	0.006	0.075	2
0	1	0	0	0	1	1	1	0	0	44.42	0.839	0.001	0.011	0.11	0.038	1
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
0	0	0	0	0	1	1	1	1	0	52.19	0.992	0	0	0.007	0	1
0	0	1	0	1	1	1	1	0	1	52.61	0.941	0.007	0.003	0.005	0.044	1
1	1	.	1	1	1	.	1	1	1	54.14	0.001	0.973	0	0.006	0.019	2
1	1	1	1	1	1	1	1	1	0	51.89	0	0.986	0	0.006	0.008	2
1	1	1	0	0	1	1	1	1	0	56.31	0.004	0.027	0	0.964	0.004	4
1	1	1	1	1	0	0	1	1	0	.	0.001	0.319	0	0.004	0.676	5
0	1	0	1	1	1	1	1	1	0	83.25	0.296	0.652	0	0.007	0.045	2
1	1	1	0	0	0	0	0	0	1	.	0.001	0	0.141	0.009	0.848	5
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	0	0	1	1	58.06	0.002	0.389	0	0.005	0.604	5
1	1	1	0	0	0	1	0	1	1	65.93	0.011	0.004	0.001	0.621	0.363	4
1	0	.	0	0	1	1	1	1	1	33.67	0.326	0.009	0	0.661	0.004	4
0	0	1	0	1	1	1	1	1	1	61.82	0.935	0.043	0	0.014	0.008	1
0	0	1	0	1	0	0	1	1	1	39.4	0.797	0.003	0.046	0.002	0.151	1
1	1	1	1	0	1	1	0	1	1	60.02	0.01	0.254	0	0.441	0.295	4
0	0	1	0	0	0	1	1	0	1	55.95	0.807	0	0.109	0.012	0.071	1
1	1	1	1	1	1	1	1	1	1	57.94	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	0	1	1	64.62	0.001	0.858	0	0.01	0.13	2
1	1	1	.	1	1	1	1	1	0	66.64	0.001	0.954	0	0.035	0.009	2
1	1	1	1	1	0	0	1	0	0	.	0	0.014	0.001	0	0.985	5
0	0	0	0	0	0	0	1	1	1	.	0.834	0	0.161	0.001	0.004	1
0	0	1	0	1	1	1	1	1	0	36.56	0.935	0.043	0	0.014	0.008	1
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
1	1	1	1	0	0	0	1	0	1	59.99	0.001	0.002	0.004	0.007	0.987	5
0	1	1	1	1	1	0	1	1	1	57.19	0.033	0.758	0	0.003	0.205	2
1	1	1	0	0	1	1	1	1	0	.	0.004	0.027	0	0.964	0.004	4
0	0	0	0	1	0	1	1	1	1	43.35	0.989	0	0.005	0.001	0.005	1
1	1	1	0	1	1	1	1	1	0	75.61	0.005	0.788	0	0.191	0.017	2
1	1	1	0	0	1	1	0	1	0	50.59	0.008	0.013	0	0.938	0.041	4
1	0	1	0	0	1	1	0	1	1	44.24	0.28	0.005	0.001	0.675	0.039	4
0	1	1	0	1	1	1	1	0	1	68.58	0.265	0.195	0.001	0.071	0.468	5
1	0	1	0	0	1	0	0	1	1	73.83	0.404	0.003	0.031	0.36	0.202	1
1	0	1	1	1	0	1	0	0	1	.	0.01	0.003	0.018	0	0.969	5
1	1	1	1	1	1	1	1	1	0	50.86	0	0.986	0	0.006	0.008	2
0	1	1	.	1	.	1	1	1	0	51.19	0.045	0.858	0	0.024	0.073	2
1	1	1	1	1	0	1	1	1	1	72.58	0.001	0.819	0	0.009	0.17	2
1	1	1	1	1	1	1	1	1	0	68.62	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	0	50.7	0	0.986	0	0.006	0.008	2
1	0	1	1	1	1	0	1	1	1	56.83	0.081	0.756	0	0.009	0.154	2
0	0	1	0	0	0	0	0	1	0	37.21	0.23	0	0.703	0.002	0.065	3
1	1	1	1	1	1	1	1	1	0	84.21	0	0.986	0	0.006	0.008	2
0	0	0	0	0	1	1	1	1	0	60.37	0.992	0	0	0.007	0	1
1	0	0	0	0	0	0	0	0	0	47.86	0.005	0	0.986	0	0.008	3
0	0	1	1	1	0	0	1	1	0	.	0.46	0.028	0.022	0	0.489	5
1	1	1	1	1	1	1	1	1	0	.	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	1	65.18	0	0.986	0	0.006	0.008	2
1	1	0	1	1	1	1	1	1	1	59.79	0.011	0.954	0	0.015	0.02	2
0	0	1	1	1	1	1	1	1	1	39.99	0.573	0.398	0	0.003	0.026	1
1	1	1	0	0	1	1	1	0	0	60.8	0.011	0.012	0	0.908	0.068	4
1	1	1	1	1	1	1	1	1	1	69.14	0	0.986	0	0.006	0.008	2
1	1	1	0	1	1	0	1	1	0	.	0.012	0.67	0	0.171	0.148	2
1	1	1	1	1	1	1	1	1	1	58.28	0	0.986	0	0.006	0.008	2
1	1	1	0	1	1	1	1	1	0	.	0.005	0.788	0	0.191	0.017	2
1	1	1	1	1	0	0	0	0	1	.	0	0.001	0.005	0	0.995	5
1	1	1	0	0	0	0	1	1	1	.	0.015	0.008	0.001	0.611	0.364	4
1	1	1	1	1	1	1	1	1	0	61.06	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	0	1	0	0	41.7	0.002	0.267	0	0.003	0.728	5
