1002	2	.	1	1	1	0	0	1	1	1	1
1004	2	0	.	.	.	.	.	.	.	.	.
1005	2	0	0	1	1	1	1	1	1	1	0
1006	2	.	.	.	.	.	.	.	.	.	.
1009	2	0	1	1	1	0	1	1	1	1	1
1011	2	0	1	1	1	1	1	1	1	1	1
1012	2	.	0	1	.	1	1	1	0	0	1
1016	2	0	.	.	.	.	.	.	.	.	.
1017	2	1	1	1	1	1	1	1	1	1	1
1023	2	1	1	1	1	1	1	1	0	1	1
1024	2	0	0	1	0	0	0	1	1	1	0
1029	2	.	.	.	.	.	.	.	.	.	.
1032	2	.	1	1	1	1	1	1	1	1	1
1033	2	0	0	0	0	0	0	1	1	1	1
1034	2	.	0	0	1	0	1	1	1	1	0
1036	2	.	1	1	.	1	1	1	.	1	1
1039	2	0	.	.	.	.	.	.	.	.	.
1040	2	.	1	1	1	1	1	1	1	1	1
1041	2	.	1	1	1	0	0	1	1	1	1
1043	2	0	1	1	1	1	1	0	0	1	1
1044	2	.	.	.	.	.	.	.	.	.	.
1045	2	1	0	1	0	1	1	1	1	1	1
1046	2	0	1	1	1	0	0	0	0	0	0
1047	2	0	1	1	1	1	1	1	1	1	1
1052	2	0	1	1	1	1	1	1	0	0	1
1054	2	.	1	1	1	0	0	0	1	0	1
1057	2	0	1	0	.	0	0	1	1	1	1
1060	2	0	0	0	1	0	1	1	1	1	1
1063	2	0	.	.	.	.	.	.	.	.	.
1064	2	0	0	0	1	0	1	0	0	1	1
1065	2	0	1	1	1	1	0	1	1	0	1
1066	2	0	0	0	1	0	0	0	1	1	0
1067	2	.	1	1	1	1	1	1	1	1	1
1071	2	.	1	1	1	1	1	1	1	0	1
1072	2	0	1	1	1	.	1	1	1	1	1
1073	2	0	.	.	.	.	.	.	.	.	.
1076	2	0	1	1	1	1	1	0	0	1	0
1079	2	0	0	0	0	0	0	0	0	1	1
1080	2	0	0	0	1	0	1	1	1	1	1
1082	2	0	1	1	1	1	1	1	1	1	1
1086	2	0	1	1	1	1	0	0	0	1	0
1087	2	.	0	1	1	1	1	1	0	1	1
1089	2	.	.	.	.	.	.	.	.	.	.
1091	2	.	1	1	1	0	0	1	1	1	1
1092	2	0	.	.	.	.	.	.	.	.	.
1094	2	.	0	0	0	0	1	0	1	1	1
1095	2	.	1	1	1	0	1	1	1	1	1
1097	2	0	1	1	1	0	0	1	1	0	1
1103	2	0	1	0	1	0	0	1	1	0	1
1104	2	0	0	1	1	0	1	1	1	1	0
1108	2	.	1	0	1	0	0	1	0	0	1
1112	2	0	1	0	1	1	1	0	1	0	0
1116	2	.	.	.	.	.	.	.	.	.	.
1123	2	0	1	1	1	1	1	1	1	1	1
1124	2	0	.	.	.	.	.	.	.	.	.
1126	2	0	.	.	.	.	.	.	.	.	.
1127	2	.	.	.	.	.	.	.	.	.	.
1129	2	0	0	1	1	.	1	.	1	1	1
1132	2	0	1	1	1	1	1	0	1	1	1
1134	2	0	1	1	1	1	1	1	1	1	1
1135	2	.	1	1	1	1	1	1	1	1	1
1137	2	0	1	0	1	1	1	1	0	1	1
1138	2	.	0	0	1	0	0	0	0	0	1
1140	2	1	1	1	1	1	1	1	1	1	1
1142	2	0	0	0	0	0	0	1	1	1	1
1144	2	0	1	0	0	0	0	0	0	0	0
1145	2	.	0	0	1	1	1	0	0	1	1
1146	2	.	1	1	1	1	1	1	1	1	1
1149	2	0	1	1	1	1	1	1	1	1	1
1150	2	.	1	1	0	1	1	1	1	1	1
1151	2	0	.	.	.	.	.	.	.	.	.
1152	2	0	.	.	.	.	.	.	.	.	.
1153	2	0	0	0	1	1	1	1	1	1	1
1155	2	0	1	1	1	0	0	1	1	1	0
1158	2	0	1	1	1	1	1	1	1	1	1
1159	2	0	1	1	1	0	1	1	0	1	1
1163	2	0	.	.	.	.	.	.	.	.	.
1165	2	0	1	1	1	1	1	1	1	1	1
1167	2	0	1	1	1	0	1	1	1	1	1
1168	2	0	.	.	.	.	.	.	.	.	.
1169	2	0	1	1	1	1	1	0	0	0	0
1170	2	0	.	.	.	.	.	.	.	.	.
1172	2	0	1	1	1	0	0	0	0	1	1
1173	2	1	1	1	1	1	1	1	1	1	1
1174	2	0	1	1	1	1	1	1	0	1	0
1175	2	0	1	1	1	1	1	1	1	1	1
1176	2	0	.	.	.	.	.	.	.	.	.
1177	2	.	1	1	1	0	0	1	1	1	1
1178	2	0	0	1	.	1	1	1	0	1	0
1181	2	.	1	0	1	1	1	1	1	1	1
1183	2	.	1	0	0	1	0	1	0	1	1
1184	2	0	1	1	1	0	1	0	0	1	0
1186	2	.	1	0	1	1	1	0	0	1	1
1190	2	0	1	1	1	0	1	1	1	1	1
1191	2	0	0	0	1	0	0	1	1	.	1
1193	2	0	1	1	1	0	1	1	1	0	1
1194	2	0	1	1	1	1	1	1	0	1	1
1195	2	.	1	1	0	0	0	1	1	0	0
1196	2	0	0	0	0	0	0	0	0	0	0
1198	2	0	0	0	0	0	1	0	0	1	1
1199	2	.	1	0	0	.	0	0	1	0	1
1202	2	0	1	1	1	0	0	1	0	0	1
1208	2	0	1	0	1	0	0	0	1	0	0
1209	2	0	1	1	1	1	1	1	1	1	1
1211	2	.	0	0	0	0	1	.	1	1	1
1212	2	0	0	1	1	1	0	0	0	1	1
1214	2	1	1	1	1	1	1	1	0	1	0
1217	2	.	.	.	.	.	.	.	.	.	.
1218	2	.	1	1	0	1	1	1	1	1	1
1219	2	0	1	1	1	1	1	0	0	1	0
1222	2	0	0	0	0	1	1	0	0	0	0
1223	2	1	.	.	.	.	.	.	.	.	.
1225	2	0	0	1	1	1	1	1	0	1	1
1227	2	.	1	1	1	0	0	1	1	1	1
1228	2	.	0	0	0	0	0	1	0	1	1
1229	2	0	0	0	1	1	0	1	0	0	1
1231	2	.	1	1	1	0	0	0	0	0	1
1232	2	0	1	1	1	0	1	1	1	1	1
1233	2	0	1	1	1	1	1	0	0	1	0
1234	2	.	0	1	1	0	1	1	1	1	1
1235	2	.	1	1	1	0	0	1	1	1	1
1236	2	.	1	1	1	1	1	0	1	1	0
1238	2	0	1	1	1	1	1	0	1	1	1
1242	2	0	1	1	1	1	1	1	0	0	0
1244	2	0	1	1	1	1	1	1	1	1	1
1245	2	0	0	0	0	0	0	1	1	1	1
1247	2	0	1	1	1	1	1	1	0	1	1
1250	2	0	1	0	1	1	1	1	1	1	1
1252	2	0	.	.	.	.	.	.	.	.	.
1253	2	.	1	1	1	1	1	1	1	1	1
1254	2	.	0	0	0	1	1	0	0	0	1
1256	2	0	0	0	0	0	1	0	0	1	0
1257	2	0	1	1	1	1	1	1	1	1	0
1259	2	.	1	1	1	1	1	1	1	1	1
1260	2	0	0	0	1	1	1	0	1	1	1
1261	2	0	0	0	0	0	0	0	0	0	0
1266	2	.	1	1	1	1	1	1	1	1	1
1268	2	.	0	0	0	0	0	0	0	0	0
1270	2	.	0	0	1	0	0	1	1	0	0
1274	2	0	0	1	1	0	0	0	1	1	1
1281	2	0	.	.	.	.	.	.	.	.	.
1282	2	0	1	1	1	0	0	0	0	1	1
1284	2	0	1	1	1	1	1	1	1	1	1
1285	2	0	.	.	.	.	.	.	.	.	.
1287	2	1	1	1	1	1	1	1	1	1	1
1288	2	0	1	1	1	1	1	1	1	1	1
1289	2	1	1	1	1	1	1	1	1	1	1
