    32.000 0 0 0 0 0 1 1 1 1      0.992      0.000      0.000      0.007      0.000    1
    21.000 0 0 0 0 1 1 1 1 1      0.996      0.002      0.000      0.001      0.001    1
    20.000 0 0 1 1 1 1 1 1 1      0.573      0.398      0.000      0.003      0.026    1
    15.000 0 0 1 0 0 1 1 1 1      0.918      0.002      0.000      0.078      0.002    1
    10.000 0 0 0 0 0 1 0 1 1      0.990      0.000      0.007      0.003      0.001    1
    10.000 0 0 1 0 1 1 1 1 1      0.935      0.043      0.000      0.014      0.008    1
     9.000 0 0 0 1 1 1 1 1 1      0.973      0.023      0.000      0.000      0.004    1
     9.000 1 0 1 0 1 1 0 1 1      0.445      0.273      0.001      0.132      0.150    1
     8.000 0 0 0 0 0 0 0 1 1      0.834      0.000      0.161      0.001      0.004    1
     8.000 0 0 1 1 1 1 1 1 0      0.721      0.086      0.002      0.001      0.190    1
     7.000 0 0 0 1 0 1 1 1 1      0.995      0.001      0.000      0.003      0.001    1
     7.000 0 0 1 1 1 1 0 1 0      0.488      0.020      0.032      0.000      0.460    1
     7.000 1 0 0 0 1 1 1 1 1      0.879      0.052      0.000      0.062      0.007    1
     7.000 0 1 0 0 0 1 1 1 1      0.722      0.004      0.000      0.269      0.006    1
     7.000 0 0 1 0 1 1 0 1 1      0.950      0.015      0.002      0.005      0.028    1
     7.000 1 0 0 1 0 1 1 1 1      0.837      0.029      0.000      0.122      0.011    1
     6.000 0 0 0 0 0 1 1 1 0      0.986      0.000      0.010      0.003      0.001    1
     6.000 0 0 0 0 0 0 1 1 1      0.988      0.000      0.007      0.004      0.001    1
     6.000 0 0 1 1 1 1 0 1 1      0.709      0.172      0.001      0.001      0.116    1
     6.000 0 0 1 0 0 1 1 0 1      0.941      0.000      0.004      0.043      0.011    1
     5.000 0 0 0 0 1 0 0 1 1      0.874      0.000      0.111      0.000      0.015    1
     5.000 0 0 1 0 1 0 0 1 1      0.797      0.003      0.046      0.002      0.151    1
     5.000 0 0 0 0 0 1 1 0 1      0.986      0.000      0.009      0.004      0.001    1
