1002	2	.	.	0	1	1	1	0	0	1	1	1	1
1004	2	0	.	1	.	.	.	.	.	.	.	.	.
1005	2	0	59.4	1	0	1	1	1	1	1	1	1	0
1006	2	.	.	0	.	.	.	.	.	.	.	.	.
1009	2	0	62.49	0	1	1	1	0	1	1	1	1	1
1011	2	0	71.58	0	1	1	1	1	1	1	1	1	1
1012	2	.	56.72	1	0	1	.	1	1	1	0	0	1
1016	2	0	.	1	.	.	.	.	.	.	.	.	.
1017	2	1	91.26	0	1	1	1	1	1	1	1	1	1
1023	2	1	72.72	0	1	1	1	1	1	1	0	1	1
1024	2	0	44.42	0	0	1	0	0	0	1	1	1	0
1029	2	.	45.31	1	.	.	.	.	.	.	.	.	.
1032	2	.	.	1	1	1	1	1	1	1	1	1	1
1033	2	0	52.19	0	0	0	0	0	0	1	1	1	1
1034	2	.	52.61	1	0	0	1	0	1	1	1	1	0
1036	2	.	54.14	1	1	1	.	1	1	1	.	1	1
1039	2	0	.	1	.	.	.	.	.	.	.	.	.
1040	2	.	51.89	0	1	1	1	1	1	1	1	1	1
1041	2	.	56.31	0	1	1	1	0	0	1	1	1	1
1043	2	0	.	0	1	1	1	1	1	0	0	1	1
1044	2	.	.	0	.	.	.	.	.	.	.	.	.
1045	2	1	83.25	0	0	1	0	1	1	1	1	1	1
1046	2	0	.	1	1	1	1	0	0	0	0	0	0
1047	2	0	.	1	1	1	1	1	1	1	1	1	1
1052	2	0	58.06	1	1	1	1	1	1	1	0	0	1
1054	2	.	65.93	1	1	1	1	0	0	0	1	0	1
1057	2	0	33.67	1	1	0	.	0	0	1	1	1	1
1060	2	0	61.82	1	0	0	1	0	1	1	1	1	1
1063	2	0	.	0	.	.	.	.	.	.	.	.	.
1064	2	0	39.4	1	0	0	1	0	1	0	0	1	1
1065	2	0	60.02	1	1	1	1	1	0	1	1	0	1
1066	2	0	55.95	1	0	0	1	0	0	0	1	1	0
1067	2	.	57.94	1	1	1	1	1	1	1	1	1	1
1071	2	.	64.62	1	1	1	1	1	1	1	1	0	1
1072	2	0	66.64	0	1	1	1	.	1	1	1	1	1
1073	2	0	70.08	0	.	.	.	.	.	.	.	.	.
1076	2	0	.	0	1	1	1	1	1	0	0	1	0
1079	2	0	.	1	0	0	0	0	0	0	0	1	1
1080	2	0	36.56	0	0	0	1	0	1	1	1	1	1
1082	2	0	.	1	1	1	1	1	1	1	1	1	1
1086	2	0	59.99	1	1	1	1	1	0	0	0	1	0
1087	2	.	57.19	1	0	1	1	1	1	1	0	1	1
1089	2	.	.	1	.	.	.	.	.	.	.	.	.
1091	2	.	.	0	1	1	1	0	0	1	1	1	1
1092	2	0	.	0	.	.	.	.	.	.	.	.	.
1094	2	.	43.35	1	0	0	0	0	1	0	1	1	1
1095	2	.	75.61	0	1	1	1	0	1	1	1	1	1
1097	2	0	50.59	0	1	1	1	0	0	1	1	0	1
1103	2	0	44.24	1	1	0	1	0	0	1	1	0	1
1104	2	0	68.58	1	0	1	1	0	1	1	1	1	0
1108	2	.	73.83	1	1	0	1	0	0	1	0	0	1
1112	2	0	.	1	1	0	1	1	1	0	1	0	0
1116	2	.	54.21	0	.	.	.	.	.	.	.	.	.
1123	2	0	50.86	0	1	1	1	1	1	1	1	1	1
1124	2	0	73.38	0	.	.	.	.	.	.	.	.	.
1126	2	0	69.21	1	.	.	.	.	.	.	.	.	.
1127	2	.	40.46	0	.	.	.	.	.	.	.	.	.
1129	2	0	51.19	0	0	1	1	.	1	.	1	1	1
1132	2	0	72.58	1	1	1	1	1	1	0	1	1	1
1134	2	0	68.62	0	1	1	1	1	1	1	1	1	1
1135	2	.	50.7	0	1	1	1	1	1	1	1	1	1
1137	2	0	56.83	1	1	0	1	1	1	1	0	1	1
1138	2	.	37.21	0	0	0	1	0	0	0	0	0	1
1140	2	1	84.21	0	1	1	1	1	1	1	1	1	1
1142	2	0	60.37	0	0	0	0	0	0	1	1	1	1
1144	2	0	47.86	0	1	0	0	0	0	0	0	0	0
1145	2	.	.	0	0	0	1	1	1	0	0	1	1
1146	2	.	.	0	1	1	1	1	1	1	1	1	1
1149	2	0	65.18	1	1	1	1	1	1	1	1	1	1
1150	2	.	59.79	1	1	1	0	1	1	1	1	1	1
1151	2	0	.	0	.	.	.	.	.	.	.	.	.
1152	2	0	.	0	.	.	.	.	.	.	.	.	.
1153	2	0	39.99	1	0	0	1	1	1	1	1	1	1
1155	2	0	60.8	0	1	1	1	0	0	1	1	1	0
1158	2	0	69.14	1	1	1	1	1	1	1	1	1	1
1159	2	0	.	0	1	1	1	0	1	1	0	1	1
1163	2	0	72.54	0	.	.	.	.	.	.	.	.	.
1165	2	0	58.28	1	1	1	1	1	1	1	1	1	1
1167	2	0	.	0	1	1	1	0	1	1	1	1	1
1168	2	0	.	0	.	.	.	.	.	.	.	.	.
1169	2	0	.	1	1	1	1	1	1	0	0	0	0
1170	2	0	36.31	1	.	.	.	.	.	.	.	.	.
1172	2	0	.	1	1	1	1	0	0	0	0	1	1
1173	2	1	61.06	0	1	1	1	1	1	1	1	1	1
1174	2	0	41.7	0	1	1	1	1	1	1	0	1	0
1175	2	0	67.08	1	1	1	1	1	1	1	1	1	1
1176	2	0	.	0	.	.	.	.	.	.	.	.	.
1177	2	.	37.27	0	1	1	1	0	0	1	1	1	1
1178	2	0	.	0	0	1	.	1	1	1	0	1	0
1181	2	.	56.39	0	1	0	1	1	1	1	1	1	1
1183	2	.	47.33	1	1	0	0	1	0	1	0	1	1
1184	2	0	66.37	1	1	1	1	0	1	0	0	1	0
1186	2	.	.	0	1	0	1	1	1	0	0	1	1
1190	2	0	81.51	0	1	1	1	0	1	1	1	1	1
1191	2	0	65.74	1	0	0	1	0	0	1	1	.	1
1193	2	0	50.59	0	1	1	1	0	1	1	1	0	1
1194	2	0	.	1	1	1	1	1	1	1	0	1	1
1195	2	.	.	0	1	1	0	0	0	1	1	0	0
1196	2	0	71.6	0	0	0	0	0	0	0	0	0	0
1198	2	0	51.22	0	0	0	0	0	1	0	0	1	1
1199	2	.	.	0	1	0	0	.	0	0	1	0	1
1202	2	0	61.61	0	1	1	1	0	0	1	0	0	1
1208	2	0	60.26	0	1	0	1	0	0	0	1	0	0
1209	2	0	76.85	1	1	1	1	1	1	1	1	1	1
1211	2	.	.	1	0	0	0	0	1	.	1	1	1
1212	2	0	.	1	0	1	1	1	0	0	0	1	1
1214	2	1	72.69	1	1	1	1	1	1	1	0	1	0
1217	2	.	.	0	.	.	.	.	.	.	.	.	.
1218	2	.	51.56	1	1	1	0	1	1	1	1	1	1
1219	2	0	63.89	1	1	1	1	1	1	0	0	1	0
1222	2	0	54.37	1	0	0	0	1	1	0	0	0	0
1223	2	1	.	1	.	.	.	.	.	.	.	.	.
1225	2	0	72.07	0	0	1	1	1	1	1	0	1	1
1227	2	.	36.29	0	1	1	1	0	0	1	1	1	1
1228	2	.	.	1	0	0	0	0	0	1	0	1	1
1229	2	0	71.84	1	0	0	1	1	0	1	0	0	1
1231	2	.	.	0	1	1	1	0	0	0	0	0	1
1232	2	0	83.73	0	1	1	1	0	1	1	1	1	1
1233	2	0	73.84	0	1	1	1	1	1	0	0	1	0
1234	2	.	67.43	0	0	1	1	0	1	1	1	1	1
1235	2	.	56.72	0	1	1	1	0	0	1	1	1	1
1236	2	.	65.17	0	1	1	1	1	1	0	1	1	0
1238	2	0	.	1	1	1	1	1	1	0	1	1	1
1242	2	0	57.25	1	1	1	1	1	1	1	0	0	0
1244	2	0	57.95	0	1	1	1	1	1	1	1	1	1
1245	2	0	42.47	0	0	0	0	0	0	1	1	1	1
1247	2	0	59.66	1	1	1	1	1	1	1	0	1	1
