CASENUM,COHORT,RSTEMM,EMTHIRT,FEMALE,CB28A,CB28B,CB28C,CB28E,CB28G,CB28H,CB28I,CB28K,CB28L
2301,2,0,75.07,1,2,2,2,5,5,2,2,2,2
2302,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2303,2,0,76.56,0,1,1,1,5,4,2,2,2,1
2304,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2305,2,1,-98,0,1,1,1,5,4,1,1,1,1
2306,2,0,50.79,0,1,1,1,1,3,1,1,1,1
2307,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2308,2,0,59.39,1,-98,-98,-98,-98,-98,-98,-98,-98,-98
2309,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2310,2,0,48,1,4,2,2,4,4,2,2,2,2
2311,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2312,2,0,-96,1,4,2,2,-98,4,3,2,4,4
2313,2,0,72.7,1,2,1,1,5,5,2,3,2,1
2314,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2315,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2316,2,0,61.55,0,2,1,5,-98,5,1,1,1,1
2317,2,0,55.52,1,2,2,2,5,5,3,2,2,2
2318,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2319,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2320,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2321,2,0,52.96,1,2,4,3,2,4,3,4,2,3
2322,2,0,47.59,0,3,2,2,4,4,2,4,2,2
2323,2,0,42.9,1,2,2,2,2,2,3,3,2,3
2324,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2325,2,0,54.44,1,2,2,2,4,5,1,2,1,1
2326,2,0,57.43,0,1,1,1,5,5,1,1,1,1
2327,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2328,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2329,2,0,48.19,1,2,3,2,4,2,4,2,1,1
2330,2,-95,48.1,0,2,4,3,2,2,2,1,1,2
2331,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2332,2,0,39.08,1,4,4,4,2,3,4,4,3,3
2333,2,0,56.65,0,1,1,2,2,3,2,4,1,2
2334,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2335,2,0,61.99,0,2,2,2,4,4,2,2,2,2
2336,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2337,2,0,68.99,0,5,5,5,5,1,5,5,5,5
2338,2,0,77.85,1,2,2,2,3,3,2,2,3,2
2339,2,0,59.91,1,2,3,3,4,4,3,3,2,2
2340,2,-95,47.52,0,3,4,3,3,2,2,3,1,2
2341,2,0,60.52,1,3,2,2,3,2,5,2,3,2
2342,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2343,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2344,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2345,2,0,57.28,1,4,4,2,2,4,3,3,3,2
2346,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2347,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2348,2,-95,-98,0,5,5,5,5,5,5,5,5,5
2349,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2350,2,0,60.23,1,2,2,2,2,5,4,5,3,3
2351,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2352,2,0,75.21,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2353,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2354,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2355,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2356,2,0,57.86,1,4,2,2,5,5,3,3,3,4
2357,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2358,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2359,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2360,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2361,2,0,-96,1,1,1,1,5,5,5,5,1,1
2362,2,0,-98,0,2,2,2,5,5,1,1,2,1
2363,2,0,72.24,0,2,1,1,5,4,2,2,1,1
2364,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2365,2,0,72.33,1,2,1,1,5,5,1,1,1,1
2366,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2367,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2368,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2369,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2370,2,0,57.27,1,-96,4,4,2,4,3,3,3,3
2371,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2372,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2373,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2374,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2375,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2376,2,-95,70.39,0,1,1,1,4,5,2,3,2,3
2377,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2378,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2379,2,0,43.26,0,2,2,3,4,4,2,2,2,2
2380,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2381,2,0,55.39,0,2,2,2,4,5,2,1,1,1
2382,2,-95,-98,0,4,4,5,4,3,4,2,2,3
2383,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2384,2,0,57.25,1,1,1,1,4,4,1,4,1,1
2385,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2386,2,0,61.28,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2387,2,0,73.67,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2388,2,0,-96,0,1,2,2,4,4,1,3,1,1
2389,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2390,2,0,56.28,0,2,3,2,4,4,2,2,1,2
2391,2,0,55.77,1,2,2,2,4,3,2,3,2,2
2392,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2393,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2394,2,0,63.23,0,4,4,2,2,4,2,4,2,2
2395,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2396,2,0,-98,0,3,3,2,2,4,4,4,1,1
2397,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2398,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2399,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2400,2,0,57.12,1,4,3,2,3,4,3,3,3,3
2401,2,0,50.61,1,2,1,1,4,4,2,3,1,1
2402,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2403,2,0,65.2,1,2,2,2,3,4,2,3,3,2
2404,2,-95,52.7,1,4,2,2,5,4,2,2,2,2
2405,2,-95,66.77,0,2,2,2,4,4,2,2,2,1
2406,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2407,2,0,-98,1,2,2,2,5,5,2,3,1,1
2408,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2409,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2410,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2411,2,-95,-98,1,1,1,1,3,4,2,2,2,2
2412,2,-95,70.57,1,1,1,1,4,3,2,2,2,3
2413,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2414,2,0,67.39,0,2,2,4,2,4,4,2,3,3
2415,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2416,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2417,2,0,55.66,1,2,2,2,4,4,1,3,2,1
2418,2,0,43.02,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2419,2,0,57.39,0,3,2,-96,2,4,3,3,4,3
2420,2,-95,40.79,1,2,2,3,3,3,2,3,3,2
2421,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2422,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2423,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2424,2,0,68.1,1,1,1,2,4,4,1,1,1,1
2425,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2426,2,0,-96,1,4,3,2,4,4,1,2,1,2
2427,2,-95,46.73,1,1,2,2,5,5,4,3,3,3
2428,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2429,2,0,44.28,1,2,2,2,2,2,1,1,2,3
2430,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2431,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2432,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2433,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2434,2,0,60.78,0,1,1,1,4,4,4,2,3,3
2435,2,0,40.87,0,3,3,3,3,3,3,3,3,3
2436,2,0,53.84,1,1,2,2,3,3,1,1,1,1
2437,2,0,75.89,1,2,2,2,3,4,2,2,1,2
2438,2,0,-98,1,2,2,2,2,3,3,2,2,3
2439,2,0,72.56,0,2,2,2,4,4,4,4,2,4
2440,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2441,2,0,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2442,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2443,2,0,42.1,1,4,2,1,5,5,1,1,1,1
2444,2,-95,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2445,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2446,2,0,53.36,1,3,4,2,1,2,1,1,1,1
2447,2,-95,60.41,1,4,4,2,4,5,2,2,2,2
2448,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2449,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2450,2,0,38.46,0,4,1,2,-98,5,1,1,1,1
2451,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2452,2,-95,-98,0,2,2,2,4,4,1,-96,2,2
2453,2,0,-96,1,3,3,2,3,2,1,2,2,3
2454,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2455,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2456,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2457,2,0,77.68,1,3,3,3,3,3,3,3,3,3
2458,2,-95,-98,0,4,3,4,4,2,4,3,1,4
2459,2,-95,62.69,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2460,2,-95,-98,1,4,5,2,2,3,2,2,3,2
2461,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2462,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2463,2,-95,47.8,1,2,2,3,4,2,1,2,3,1
2464,2,-95,-96,1,5,5,5,5,5,3,2,2,1
2465,2,-95,-98,0,2,2,2,3,3,2,2,-98,3
2466,2,0,63.33,0,2,2,3,1,1,2,2,1,2
2467,2,0,66.84,0,4,2,2,4,4,2,2,2,2
2468,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2469,2,0,67.67,1,2,2,2,4,4,-98,3,2,2
2470,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2471,2,0,-98,1,1,1,1,1,5,4,1,2,3
2472,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2473,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2474,2,0,59.36,1,2,2,1,5,4,5,5,1,2
2475,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2476,2,0,-98,1,2,3,-96,4,4,2,2,2,2
2477,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2478,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2479,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2480,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2481,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2482,2,0,49.61,1,5,4,4,3,2,2,2,2,3
2483,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2484,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2485,2,0,33.21,1,1,1,1,1,1,1,1,1,1
2486,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2487,2,0,55.67,0,3,3,3,3,3,3,3,3,3
2488,2,0,52.18,0,3,3,2,4,4,2,3,3,3
2489,2,0,66.26,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2490,2,-95,82.65,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2491,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2492,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2493,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2494,2,0,47.48,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2495,2,-95,-98,1,1,1,1,4,4,3,3,3,3
2496,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2497,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2498,2,0,40.62,0,3,2,2,4,5,2,3,2,2
2499,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2500,2,0,58.25,1,2,2,2,4,4,2,3,2,3
2501,2,0,-98,1,2,2,2,4,4,2,2,2,2
2502,2,1,80.03,0,4,2,2,3,3,2,2,2,2
2503,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2504,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2505,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2506,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2507,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2508,2,0,62.89,1,2,2,2,3,3,3,3,2,2
2509,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2510,2,0,71.43,1,2,2,2,4,4,2,2,2,2
2511,2,0,-98,0,2,1,1,1,1,1,1,1,1
2512,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2513,1,-99,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2514,2,0,59.01,0,2,1,2,2,1,1,1,2,1
2515,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2516,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2517,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2518,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2519,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2520,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2521,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2522,2,0,60.41,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2523,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2524,2,0,60.74,1,1,1,1,4,5,1,1,1,1
2525,2,0,71.8,1,1,2,2,2,4,2,2,2,2
2526,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2527,2,0,40.44,0,2,3,2,2,3,2,2,2,2
2528,2,0,55.68,1,1,1,1,5,1,1,1,1,1
2529,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2530,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2531,2,0,50.99,0,2,4,2,5,4,2,3,1,2
2532,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2533,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2534,2,0,77.43,0,2,1,1,3,4,2,2,2,2
2535,2,0,55.92,1,2,4,2,1,5,2,1,2,2
2536,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2537,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2538,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2539,2,0,55.58,0,1,1,1,3,5,1,1,1,1
2540,2,0,-98,0,1,1,5,-98,5,5,1,1,1
2541,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2542,2,0,54.45,0,4,2,2,5,5,2,3,2,3
2543,2,-95,-98,0,1,2,2,2,-98,2,-98,-98,3
2544,2,0,48.89,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2545,2,0,59.99,0,2,1,1,-98,2,1,1,1,1
2546,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2547,2,0,40.04,0,3,2,3,3,2,3,3,1,4
2548,2,0,-96,0,2,2,2,4,2,2,3,4,3
2549,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2550,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2551,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2552,2,0,63.25,0,2,4,2,4,4,2,3,1,2
2553,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2554,2,0,73.82,1,4,2,2,4,4,4,2,4,4
2555,2,0,63.6,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2556,2,0,55.81,0,5,1,2,2,2,2,1,2,-98
2557,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2558,2,0,-96,0,2,1,2,3,5,2,3,2,2
2559,2,1,79.37,0,2,2,2,4,2,2,2,2,2
2560,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2561,2,0,46.69,1,2,4,1,4,4,1,2,1,1
2562,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2563,2,0,52.52,0,2,3,2,4,4,2,3,1,3
2564,2,-95,46.61,0,2,1,1,3,4,1,1,1,1
2565,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2566,2,0,55.01,0,4,4,4,2,4,2,3,2,2
2567,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2568,2,0,72.01,1,2,2,2,4,4,1,1,1,1
2569,2,-95,41.48,0,4,4,4,4,4,4,4,4,4
2570,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2571,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2572,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2573,2,0,72.35,1,3,2,1,4,5,1,1,1,1
2574,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2575,2,0,55.19,0,2,3,3,2,3,2,2,4,3
2576,2,0,70.8,1,2,2,2,3,5,2,3,2,2
2577,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2578,2,0,77.42,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2579,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2580,2,0,46.4,1,2,2,2,3,2,1,3,1,1
2581,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2582,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2583,2,0,67.34,0,1,2,2,4,5,2,2,1,3
2584,2,0,-98,0,2,2,2,4,4,2,2,2,2
2585,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2586,2,0,65.79,0,2,2,2,4,4,2,3,2,2
2587,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2588,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2589,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2590,2,0,45.41,0,1,1,1,2,2,3,2,2,2
2591,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2592,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2593,2,0,61.33,1,4,4,2,5,5,2,2,3,2
2594,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2595,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2596,2,0,56.33,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2597,2,0,59.53,1,2,3,4,2,2,2,3,3,3
2598,2,0,83.13,0,1,1,1,5,4,2,2,2,2
2599,2,0,74.23,1,2,2,2,4,4,2,2,2,2
2600,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2601,2,-95,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2602,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2603,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2604,2,0,-98,0,1,1,1,1,5,1,2,1,1
2605,2,-95,66.83,1,2,2,2,4,4,-98,2,2,2
2606,2,0,29.53,0,5,2,3,3,3,3,3,3,3
2607,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2608,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2609,2,-95,53.31,1,2,2,2,4,3,2,2,2,1
2610,2,-95,-98,1,2,2,2,5,4,2,3,4,3
2611,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2612,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2613,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2614,2,-95,47.97,0,2,2,3,4,4,2,2,2,2
2615,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2616,2,-95,55.98,0,2,3,4,3,2,2,2,3,4
2617,2,0,56.37,0,5,2,2,2,1,2,2,3,3
2618,2,0,-96,0,1,1,1,5,5,2,2,1,1
2619,2,0,63.98,1,5,5,2,2,2,2,5,1,2
2620,2,0,-96,1,4,4,4,2,3,2,3,2,2
2621,2,0,70.82,0,3,2,1,3,5,2,3,3,3
2622,2,0,69.42,1,3,4,3,2,3,1,2,1,1
2623,2,0,56.56,1,3,3,4,3,3,-98,2,2,3
2624,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2625,2,0,54.76,0,4,2,2,2,5,1,3,1,2
2626,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2627,2,0,40.13,1,2,3,2,2,2,2,2,1,2
2628,2,-95,40.34,0,2,3,2,4,4,3,1,1,2
2629,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2630,2,-95,60.27,1,2,2,3,4,4,2,3,2,2
2631,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2632,2,0,-96,1,2,2,4,1,5,2,2,2,1
2633,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2634,2,-95,62.85,1,1,1,1,5,5,3,3,1,1
2635,2,0,-98,1,2,2,2,5,5,1,2,2,1
2636,2,0,51.43,0,4,4,4,4,2,2,2,2,2
2637,2,0,65.03,1,2,2,2,4,4,2,2,2,3
2638,2,0,63.68,1,2,2,2,4,5,2,2,2,3
2639,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2640,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2641,2,1,67.7,0,1,1,2,4,5,3,3,3,3
2642,2,0,65.43,1,2,2,2,4,4,3,3,2,2
2643,2,0,65.02,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2644,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2645,2,0,78.7,1,2,2,4,2,4,2,2,4,3
2646,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2647,2,-95,-98,0,5,4,3,1,2,-98,3,4,5
2648,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2649,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2650,2,-95,67.86,0,4,3,2,4,4,1,2,2,3
2651,2,0,46.25,1,4,4,4,4,2,2,2,2,4
2652,2,0,64.28,1,2,2,2,4,4,2,2,2,2
2653,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2654,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2655,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2656,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2657,2,0,70.53,0,4,2,2,3,4,5,3,3,2
2658,2,0,41.09,0,2,2,2,3,3,1,1,1,1
2659,2,-95,-98,0,3,3,3,3,3,3,3,3,3
2660,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2661,2,-95,65.15,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2662,2,0,-98,1,5,5,5,5,2,2,2,1,2
2663,2,0,37.2,0,3,2,4,5,2,3,4,4,3
2664,2,0,57.36,1,2,4,4,3,4,3,3,2,2
2665,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2666,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2667,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2668,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2669,2,0,53.81,0,4,4,4,4,4,4,4,4,4
2670,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2671,2,-95,31.67,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2672,2,0,54,1,1,2,2,4,4,2,3,1,2
2673,2,0,68.52,1,2,2,2,4,5,2,2,4,3
2674,2,0,56.63,0,4,3,2,2,5,2,3,4,1
2675,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2676,2,1,42.34,0,3,5,3,3,5,1,2,1,1
2677,2,-95,54.72,1,2,2,2,4,3,1,3,2,2
2678,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2679,2,0,71.44,0,1,2,2,4,4,2,2,2,1
2680,2,0,64.57,1,2,2,4,4,4,3,4,2,2
2681,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2682,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2683,2,0,56.6,0,3,4,3,3,4,3,3,5,4
2684,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
2685,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2686,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2687,2,0,-98,1,2,2,2,5,5,2,3,2,2
2688,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2689,2,0,73.58,0,2,2,2,5,3,4,3,2,2
2690,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
2691,2,0,46.1,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
2692,2,-95,-96,0,2,2,3,4,2,2,2,4,1
